id,title,requires_geo_logic,reasoning,regulations
1,Curfew login blocker with ASL and GH for Utah minors,true,"The regulation requires compliance with Utah's social media regulations for minors, indicating a legal obligation.",
2,PF default toggle with NR enforcement for California teens,true,"The text indicates a legal obligation to comply with Florida's online protections for minors, which includes age verification and restrictions on personalized feeds.",
3,Child abuse content scanner using T5 and CDS triggers,true,The content indicates a legal obligation to comply with US NCMEC reporting requirements.,
4,Content visibility lock with NSP for EU DSA,null,Compliance with EU's DSA to ensure minors' safety,
5,Jellybean-based parental notifications for Florida regulation,null,The text indicates a legal obligation to comply with Florida's online protections for minors.,
6,Unified retention control via DRT & CDS,true,Compliance with EU's Digital Services Act (DSA) to ensure age-specific experiences for EU users.,
7,NSP auto-flagging,false,The text indicates a legal obligation to comply with US federal reporting requirements for child sexual abuse material (CSAM).,
8,T5 tagging for sensitive reports,null,Compliance with EU's DSA to ensure minors' safety,
9,Underage protection via Snowcap trigger,null,Could not parse model JSON,
10,Universal PF deactivation on guest mode,null,The text indicates a legal obligation to comply with Florida's online protections for minors.,
11,Story resharing with content expiry,null,"The feature complies with Utah's Social Media Regulation Act, ensuring minors' safety online.",
12,Leaderboard system for weekly creators,null,Could not parse model JSON,
13,Mood-based PF enhancements,null,Compliance with EU's Digital Services Act (DSA) is required to ensure age-specific experiences for EU users.,
14,New user rewards via NR profile suggestions,false,To comply with DSA,
15,Creator fund payout tracking in CDS,true,The text indicates a legal obligation to comply with EU's DSA.,
16,Trial run of video replies in EU,null,To comply with EU's DSA,
17,Canada-first PF variant test,null,The text indicates a legal obligation to comply with Florida's online protections for minors.,
18,Chat UI overhaul,null,Compliance with EU's Digital Services Act (DSA) to protect minors from personalized feeds.,
19,Regional trial of autoplay behavior,true,The text indicates a legal obligation to comply with EU's DSA.,
20,South Korea dark theme A/B experiment,false,The provided evidence indicates a legal obligation to comply with Utah's social media regulations regarding minors.,
21,Age-specific notification controls with ASL,null,The text indicates a legal obligation to comply with EU Digital Services Act (DSA) regarding minors' protections and personalized feeds.,
22,Chat content restrictions via LCP,true,"This decision is based on the Utah Social Media Regulation Act, which requires personalized feeds for minors.",
23,Video upload limits for new users,null,The regulation requires personalized feeds for minors to comply with Utah's social media regulations.,
24,Flag escalation flow for sensitive comments,null,The text indicates a legal obligation to comply with US federal reporting requirements for child sexual abuse material (CSAM).,
25,User behavior scoring for policy gating,null,Compliance with DSA to protect minors from personalized feeds.,
26,Minor-safe chat expansion via Jellybean,null,The text indicates a legal obligation to comply with Florida's online protections for minors.,
27,Friend suggestions with underage safeguards,null,The text indicates a legal obligation to comply with Florida's online protections for minors.,
28,Reaction GIFs with embedded filtering,true,The Utah Social Media Regulation Act requires personalized feeds for minors to comply with legal obligations.,
29,Longform posts with age-based moderation,null,The text indicates a legal obligation to comply with Florida's online protections for minors.,
30,Custom avatar system with identity checks,null,Compliance with EU's DSA to ensure minors' safety,
